,username,email,password,first_name,last_name,is_active,is_superuser,is_staff,hr_id,sb_id,tg_id
0,Shawn_Schmidt,Shawn_Schmidt24@msn.com,TT5)(jEoC.,Shawn,Schmidt,True,False,False,90000,10000,41470300
1,Thomas_Eldridge,Thomas_Eldridge96@yahoo.com,"OdWTFw1,c6",Thomas,Eldridge,True,False,False,90001,10001,16983206
2,Willie_Williams,Willie_Williams75@hotmail.com,K+lg=_44oX,Willie,Williams,True,False,False,90002,10002,55935739
3,William_Walker,William_Walker87@hotmail.com,3^_Hlj1r_V,William,Walker,True,False,False,90003,10003,93090503
4,Franklin_Dowell,Franklin_Dowell19@gamil.com,r3Y71Lw(!(,Franklin,Dowell,True,False,False,90004,10004,68065066
5,Darlene_Veasey,Darlene_Veasey53@gamil.com,"QbK687,SNS",Darlene,Veasey,True,False,False,90005,10005,17602915
6,Wanda_Palmer,Wanda_Palmer72@yahoo.com,1wqg0UEl?+,Wanda,Palmer,True,False,False,90006,10006,28754521
7,Blanca_Adams,Blanca_Adams79@hotmail.com,fQl^%ZmC21,Blanca,Adams,True,False,False,90007,10007,53829284
8,Francis_Dodd,Francis_Dodd68@gamil.com,$6QGjf3?*t,Francis,Dodd,True,False,False,90008,10008,48741823
9,Kenneth_Wagner,Kenneth_Wagner55@gamil.com,.0s5xOd%EJ,Kenneth,Wagner,True,False,False,90009,10009,95390466
